Liga,Klub,Link_Bezposredni
Anglia Premier League,Arsenal FC,https://drive.google.com/uc?export=view&id=1PW23gGqBk2WAQWnWqE-TxpvPtdNcZxrw
Anglia Premier League,Arsenal FC,https://drive.google.com/uc?export=view&id=1WzbAE3V38zqVWtJsFnkOt3Y9gYfR6nJ1
Anglia Premier League,Arsenal FC,https://drive.google.com/uc?export=view&id=1c9fb1K5EVvLAamFqohI_o_s6UPIWbO0t
Anglia Premier League,Aston Villa,https://drive.google.com/uc?export=view&id=18gZXH23z0L9S_sZUenI7G4bvN9xNa1NV
Anglia Premier League,Aston Villa,https://drive.google.com/uc?export=view&id=1BVgEYflJGcrh1G6ytdBbNNDikrKzXlST
Anglia Premier League,Aston Villa,https://drive.google.com/uc?export=view&id=1FoehUmZLNs4hVRa9xnHI5iEm5SsNcQvi
Anglia Premier League,AFC Bournemouth,https://drive.google.com/uc?export=view&id=12YiSBrv9SlQraMvBSmdtxTCLzZUCTfEy
Anglia Premier League,AFC Bournemouth,https://drive.google.com/uc?export=view&id=126za8-PoeAAWGN50t9sYfGsx9B8nJXr1
Anglia Premier League,AFC Bournemouth,https://drive.google.com/uc?export=view&id=1HbzBQDCmPfnxJBXh5XLCWwdH-3kLUHB8
Anglia Premier League,AFC Bournemouth,https://drive.google.com/uc?export=view&id=1NTlpw34lSEVLjQ-9WHQ1I7GjE59_keRg
Anglia Premier League,AFC Bournemouth,https://drive.google.com/uc?export=view&id=1XdBwB-IaXMFwqu2UseHZ_ehghAy2Zs09
Anglia Premier League,Brentford FC,https://drive.google.com/uc?export=view&id=15QAdcghkvAcL8K2IAj5HZk1hcrCAf9pR
Anglia Premier League,Brentford FC,https://drive.google.com/uc?export=view&id=1CGsWbezGbW8qCHtvB5smZDnIFvTrJjM5
Anglia Premier League,Brentford FC,https://drive.google.com/uc?export=view&id=1bo9L_xOhq9Bb8TrNYE1DpFnXa9_PXl5h
Anglia Premier League,Chelsea FC,https://drive.google.com/uc?export=view&id=1GlA47ScDJ-_Cx0J5LfLdyYUIkBFlqebl
Anglia Premier League,Chelsea FC,https://drive.google.com/uc?export=view&id=1jnuOaiN8nUtggxfCcWdwGnm7hkHG_L2w
Anglia Premier League,Chelsea FC,https://drive.google.com/uc?export=view&id=1w8i0Fbf5oQTPYrXoyRLHkObFy8iJkZgK
Anglia Premier League,Brighton & Hove Albion,https://drive.google.com/uc?export=view&id=1-vagXgC1tVq8DuU2DwGSv0Sk87yBuJD_
Anglia Premier League,Brighton & Hove Albion,https://drive.google.com/uc?export=view&id=1Hu6fuEYqRMKaPpINdFvduapdT4idL3B2
Anglia Premier League,Brighton & Hove Albion,https://drive.google.com/uc?export=view&id=1tVDpHtcMUu8eDkeNXrRJT7RMneEUlv_Q
Anglia Premier League,Crystal Palace,https://drive.google.com/uc?export=view&id=1C3-fDalLeWwe3RRmpibM2FGPhmOWeMcG
Anglia Premier League,Crystal Palace,https://drive.google.com/uc?export=view&id=1qt2Il-Uj6ck50D-B9WhOS-Jmg88Lseh1
Anglia Premier League,Crystal Palace,https://drive.google.com/uc?export=view&id=1yVV80c3G72MDKhU_WTvlURiAk3YMMMeU
Anglia Premier League,Crystal Palace,https://drive.google.com/uc?export=view&id=1BH8GzFvXS6DObwrGm7OliQuuPF58jup_
Anglia Premier League,Crystal Palace,https://drive.google.com/uc?export=view&id=1hshlf_oAjlcyQp686bWqrFmL-4_N_lPn
Anglia Premier League,Burnley FC,https://drive.google.com/uc?export=view&id=1AfjQdBYW1RsfWAh_G6FideCOyzRwi6Hc
Anglia Premier League,Burnley FC,https://drive.google.com/uc?export=view&id=13CCyf8WKm3En1Lh-UETKdqNEJx0GdkTR
Anglia Premier League,Burnley FC,https://drive.google.com/uc?export=view&id=18M5i84rbIGeFQ2J_ve_z-_QHsEomePnU
Anglia Premier League,Burnley FC,https://drive.google.com/uc?export=view&id=1qIX1wEzMZefMhPlYP1cDLNWh2O589FvG
Anglia Premier League,Burnley FC,https://drive.google.com/uc?export=view&id=1rCdC6xQDGzBXauphEYBZHYpsVJA37M8u
Anglia Premier League,Everton FC,https://drive.google.com/uc?export=view&id=132Vzp3Oua8jTHn8I9WkcbL1G53bQcJUq
Anglia Premier League,Everton FC,https://drive.google.com/uc?export=view&id=18qpCKTtq7bCL3unW7KhqrjscCi4sokBr
Anglia Premier League,Everton FC,https://drive.google.com/uc?export=view&id=1AzHAQnIgcVG_sCOAsBov6b7A7Eaq3JlR
Anglia Premier League,Everton FC,https://drive.google.com/uc?export=view&id=1jwbHEKTE6ncnSgNCI7AbsCLyYBxWlz5m
Anglia Premier League,Everton FC,https://drive.google.com/uc?export=view&id=1zwQtI3DqZHT2BFyqBlZcIJDV-Pf0bz2r
Anglia Premier League,Nottingham Forest,https://drive.google.com/uc?export=view&id=15QKZwjNhR4byb7_jdtVHiqYSf25vLhqy
Anglia Premier League,Nottingham Forest,https://drive.google.com/uc?export=view&id=1VMoXOGWYvR_lUTG9F_WDfeAiK-Ry4zQW
Anglia Premier League,Nottingham Forest,https://drive.google.com/uc?export=view&id=1LFfj0nEH4UIBygju3X7uNRkPYS9ayV7V
Anglia Premier League,Manchester City,https://drive.google.com/uc?export=view&id=12MxQ7qVQ1W8vXZGRIjC8ZtVX4qOWAsI8
Anglia Premier League,Manchester City,https://drive.google.com/uc?export=view&id=1BQvbDnk2ckCWcuBklrkDF40HFKxc6WKc
Anglia Premier League,Manchester City,https://drive.google.com/uc?export=view&id=1fUO5W16BZ-W1AnFupnUGUxepXXyxX3MZ
Anglia Premier League,Liverpool FC,https://drive.google.com/uc?export=view&id=14CYhhcnSRKornmD7wkaWLaExnzAUK1-b
Anglia Premier League,Liverpool FC,https://drive.google.com/uc?export=view&id=16v-cdB2tyNdjfuZljxdwyFlr_RqBODwv
Anglia Premier League,Liverpool FC,https://drive.google.com/uc?export=view&id=1MigTP4tNldodPRKTKtHHp4SNv1B-maqt
Anglia Premier League,Newcastle United,https://drive.google.com/uc?export=view&id=1H3xRLfcbx8WOBUb2nOUiYITQCeGtUcLH
Anglia Premier League,Newcastle United,https://drive.google.com/uc?export=view&id=1WFz7eDuZSXyLki2ShA09XGFPwuu-hamK
Anglia Premier League,Newcastle United,https://drive.google.com/uc?export=view&id=1bnW5AqeaWSApGkQAoVH5OF1rLS2YUgr8
Anglia Premier League,Tottenham Hotspur,https://drive.google.com/uc?export=view&id=1Jtybsy12SIf4TLTGwaBOCog8qYJpbNvq
Anglia Premier League,Tottenham Hotspur,https://drive.google.com/uc?export=view&id=1f0aA2UpyWJN3sEzOyP_J5bUMAbFMaofS
Anglia Premier League,Tottenham Hotspur,https://drive.google.com/uc?export=view&id=1zCagMaHVVDd62nAoW_bXapoo0WwfxiaE
Anglia Premier League,Leeds United,https://drive.google.com/uc?export=view&id=1PJxvfKtgWkb424u8fUx2uVoDX4sM03xY
Anglia Premier League,Leeds United,https://drive.google.com/uc?export=view&id=1-AEPKxBADhjMFyU1FcgUFfMXazaGtnAZ
Anglia Premier League,Leeds United,https://drive.google.com/uc?export=view&id=1C18AfmgwTyad149_R1aKkgtuilYQHhvE
Anglia Premier League,Fulham FC,https://drive.google.com/uc?export=view&id=1WHP3SW-rDaOFu6aL6KTmAIeV9J7Bvl2w
Anglia Premier League,Fulham FC,https://drive.google.com/uc?export=view&id=1WQkj-jsbBEiHBwgDhVFYuHLlZoq6pUP2
Anglia Premier League,Fulham FC,https://drive.google.com/uc?export=view&id=1imrho9gUwYN6hWDQT8Ns64KcpZoV3GsB
Anglia Premier League,Fulham FC,https://drive.google.com/uc?export=view&id=1wNnHTFcPBOWtyaC5_KqC4QGaVDbExmym
Anglia Premier League,Fulham FC,https://drive.google.com/uc?export=view&id=1x0fCvPdtQoVwSgKsWx4VKDeZxCDpVwef
Anglia Premier League,West Ham United,https://drive.google.com/uc?export=view&id=1dWD7Z4K6W2Uthapmsw-4g0kVNWKNG79M
Anglia Premier League,West Ham United,https://drive.google.com/uc?export=view&id=1DPcv_9sD9d1NMo7hHCCUpzmjiRelrRkt
Anglia Premier League,West Ham United,https://drive.google.com/uc?export=view&id=1EQy7_ybyV573rR0JpNejCO6yAylEr7X0
Anglia Premier League,West Ham United,https://drive.google.com/uc?export=view&id=1H7KpMOWeFkXHHPLQe5I8gJwXwFfWziPu
Anglia Premier League,West Ham United,https://drive.google.com/uc?export=view&id=1QC3uzFyx0lDWphoLSxkCDccmRq-lW9-I
Anglia Premier League,Manchester United,https://drive.google.com/uc?export=view&id=19he4vS23mcGIeZ58yHUG5SJYIY_PsURG
Anglia Premier League,Manchester United,https://drive.google.com/uc?export=view&id=1cVsBXeY5eInzBsTtnNGr-g3Y_UrMfE0F
Anglia Premier League,Manchester United,https://drive.google.com/uc?export=view&id=1nzNHVOrdD6Btc5AW7hf-1k7PB3_WlV7_
