Liga,Klub,Link_Bezposredni
English Premier League,Bolton Wanderers,https://r2.thesportsdb.com/images/media/team/badge/yvxxrv1448808301.png
English Premier League,Wigan Athletic,https://r2.thesportsdb.com/images/media/team/badge/wtxwyw1448759640.png
English Premier League,Blackpool,https://r2.thesportsdb.com/images/media/team/badge/utywru1448754934.png
English Premier League,Doncaster Rovers,https://r2.thesportsdb.com/images/media/team/badge/ssvpvx1424033260.png
English Premier League,Barnsley,https://r2.thesportsdb.com/images/media/team/badge/xvxsuv1447437855.png
English Premier League,Peterborough United,https://www.thesportsdb.com/images/media/team/badge/63gt4u1761710001.png
English Premier League,Reading,https://r2.thesportsdb.com/images/media/team/badge/tprvtu1448811527.png
English Premier League,Cardiff City,https://r2.thesportsdb.com/images/media/team/badge/xtytpt1448808285.png
English Premier League,Plymouth Argyle,https://r2.thesportsdb.com/images/media/team/badge/wod5cj1689630278.png
English Premier League,Luton Town,https://r2.thesportsdb.com/images/media/team/badge/v977eh1681319466.png
English Premier League,Huddersfield Town,https://r2.thesportsdb.com/images/media/team/badge/y11fin1677527513.png
English Premier League,Bradford City,https://r2.thesportsdb.com/images/media/team/badge/trwxxv1424033151.png
English Premier League,Rotherham United,https://r2.thesportsdb.com/images/media/team/badge/sewy0z1752149213.png
English Premier League,AFC Wimbledon,https://r2.thesportsdb.com/images/media/team/badge/md7iqx1684129667.png
English Premier League,Stockport County,https://r2.thesportsdb.com/images/media/team/badge/jcsz9k1594450753.png
English Premier League,Exeter City,https://r2.thesportsdb.com/images/media/team/badge/98wt4h1521144923.png
English Premier League,Leyton Orient,https://r2.thesportsdb.com/images/media/team/badge/g4d9bi1688678797.png
English Premier League,Northampton Town,https://r2.thesportsdb.com/images/media/team/badge/aa42641684131255.png
English Premier League,Port Vale,https://www.thesportsdb.com/images/media/team/badge/s1ke3v1761710614.png
English Premier League,Burton Albion,https://r2.thesportsdb.com/images/media/team/badge/uvpqpw1423804499.png
English Premier League,Stevenage,https://r2.thesportsdb.com/images/media/team/badge/o4m2ci1596480474.png
English Premier League,Mansfield Town,https://www.thesportsdb.com/images/media/team/badge/c1fpes1761709071.png
English Premier League,Wycombe Wanderers,https://r2.thesportsdb.com/images/media/team/badge/avi3bu1688678934.png
English Premier League,Lincoln City,https://r2.thesportsdb.com/images/media/team/badge/x46tji1719860130.png
Spanish La Liga,Bolton Wanderers,https://r2.thesportsdb.com/images/media/team/badge/yvxxrv1448808301.png
Spanish La Liga,Wigan Athletic,https://r2.thesportsdb.com/images/media/team/badge/wtxwyw1448759640.png
Spanish La Liga,Blackpool,https://r2.thesportsdb.com/images/media/team/badge/utywru1448754934.png
Spanish La Liga,Doncaster Rovers,https://r2.thesportsdb.com/images/media/team/badge/ssvpvx1424033260.png
Spanish La Liga,Barnsley,https://r2.thesportsdb.com/images/media/team/badge/xvxsuv1447437855.png
Spanish La Liga,Peterborough United,https://www.thesportsdb.com/images/media/team/badge/63gt4u1761710001.png
Spanish La Liga,Reading,https://r2.thesportsdb.com/images/media/team/badge/tprvtu1448811527.png
Spanish La Liga,Cardiff City,https://r2.thesportsdb.com/images/media/team/badge/xtytpt1448808285.png
Spanish La Liga,Plymouth Argyle,https://r2.thesportsdb.com/images/media/team/badge/wod5cj1689630278.png
Spanish La Liga,Luton Town,https://r2.thesportsdb.com/images/media/team/badge/v977eh1681319466.png
Spanish La Liga,Huddersfield Town,https://r2.thesportsdb.com/images/media/team/badge/y11fin1677527513.png
Spanish La Liga,Bradford City,https://r2.thesportsdb.com/images/media/team/badge/trwxxv1424033151.png
Spanish La Liga,Rotherham United,https://r2.thesportsdb.com/images/media/team/badge/sewy0z1752149213.png
Spanish La Liga,AFC Wimbledon,https://r2.thesportsdb.com/images/media/team/badge/md7iqx1684129667.png
Spanish La Liga,Stockport County,https://r2.thesportsdb.com/images/media/team/badge/jcsz9k1594450753.png
Spanish La Liga,Exeter City,https://r2.thesportsdb.com/images/media/team/badge/98wt4h1521144923.png
Spanish La Liga,Leyton Orient,https://r2.thesportsdb.com/images/media/team/badge/g4d9bi1688678797.png
Spanish La Liga,Northampton Town,https://r2.thesportsdb.com/images/media/team/badge/aa42641684131255.png
Spanish La Liga,Port Vale,https://www.thesportsdb.com/images/media/team/badge/s1ke3v1761710614.png
Spanish La Liga,Burton Albion,https://r2.thesportsdb.com/images/media/team/badge/uvpqpw1423804499.png
Spanish La Liga,Stevenage,https://r2.thesportsdb.com/images/media/team/badge/o4m2ci1596480474.png
Spanish La Liga,Mansfield Town,https://www.thesportsdb.com/images/media/team/badge/c1fpes1761709071.png
Spanish La Liga,Wycombe Wanderers,https://r2.thesportsdb.com/images/media/team/badge/avi3bu1688678934.png
Spanish La Liga,Lincoln City,https://r2.thesportsdb.com/images/media/team/badge/x46tji1719860130.png
German Bundesliga,Bolton Wanderers,https://r2.thesportsdb.com/images/media/team/badge/yvxxrv1448808301.png
German Bundesliga,Wigan Athletic,https://r2.thesportsdb.com/images/media/team/badge/wtxwyw1448759640.png
German Bundesliga,Blackpool,https://r2.thesportsdb.com/images/media/team/badge/utywru1448754934.png
German Bundesliga,Doncaster Rovers,https://r2.thesportsdb.com/images/media/team/badge/ssvpvx1424033260.png
German Bundesliga,Barnsley,https://r2.thesportsdb.com/images/media/team/badge/xvxsuv1447437855.png
German Bundesliga,Peterborough United,https://www.thesportsdb.com/images/media/team/badge/63gt4u1761710001.png
German Bundesliga,Reading,https://r2.thesportsdb.com/images/media/team/badge/tprvtu1448811527.png
German Bundesliga,Cardiff City,https://r2.thesportsdb.com/images/media/team/badge/xtytpt1448808285.png
German Bundesliga,Plymouth Argyle,https://r2.thesportsdb.com/images/media/team/badge/wod5cj1689630278.png
German Bundesliga,Luton Town,https://r2.thesportsdb.com/images/media/team/badge/v977eh1681319466.png
German Bundesliga,Huddersfield Town,https://r2.thesportsdb.com/images/media/team/badge/y11fin1677527513.png
German Bundesliga,Bradford City,https://r2.thesportsdb.com/images/media/team/badge/trwxxv1424033151.png
German Bundesliga,Rotherham United,https://r2.thesportsdb.com/images/media/team/badge/sewy0z1752149213.png
German Bundesliga,AFC Wimbledon,https://r2.thesportsdb.com/images/media/team/badge/md7iqx1684129667.png
German Bundesliga,Stockport County,https://r2.thesportsdb.com/images/media/team/badge/jcsz9k1594450753.png
German Bundesliga,Exeter City,https://r2.thesportsdb.com/images/media/team/badge/98wt4h1521144923.png
German Bundesliga,Leyton Orient,https://r2.thesportsdb.com/images/media/team/badge/g4d9bi1688678797.png
German Bundesliga,Northampton Town,https://r2.thesportsdb.com/images/media/team/badge/aa42641684131255.png
German Bundesliga,Port Vale,https://www.thesportsdb.com/images/media/team/badge/s1ke3v1761710614.png
German Bundesliga,Burton Albion,https://r2.thesportsdb.com/images/media/team/badge/uvpqpw1423804499.png
German Bundesliga,Stevenage,https://r2.thesportsdb.com/images/media/team/badge/o4m2ci1596480474.png
German Bundesliga,Mansfield Town,https://www.thesportsdb.com/images/media/team/badge/c1fpes1761709071.png
German Bundesliga,Wycombe Wanderers,https://r2.thesportsdb.com/images/media/team/badge/avi3bu1688678934.png
