Liga,Klub,Link_Bezposredni
Bundesliga (NIE),Bayern Munich,https://drive.google.com/uc?export=view&id=1iSb_nNeWpAelqlt9YJtBuzpTNBuWFqtg
Bundesliga (NIE),Bayern Munich,https://drive.google.com/uc?export=view&id=11pWQgSh7m0LM9NpNnVQzJuU_ljuJNtCv
Bundesliga (NIE),Bayern Munich,https://drive.google.com/uc?export=view&id=1iSlUFSz9CgvCGmE3FW-P_r6pbCD8DX9I
Bundesliga (NIE),Bayern Munich,https://drive.google.com/uc?export=view&id=1ppA1fddVO7CU77aQ0VExaX8HQY_NYNt2
Bundesliga (NIE),Bayern Munich,https://drive.google.com/uc?export=view&id=1sjDjfp9l6KtQaMnWkoKq79ZmueIvoHbn
Bundesliga (NIE),Bayern Munich,https://drive.google.com/uc?export=view&id=155am_kbGsZ1T-rMDuGq0-mLdvjqdy42V
Bundesliga (NIE),Bayern Munich,https://drive.google.com/uc?export=view&id=1T6wy76wkqg3mgv7UYHy3af68raQBc0UL
Bundesliga (NIE),Bayern Munich,https://drive.google.com/uc?export=view&id=1hifT6Rodbo6yQmRuBrZkSKVBKoXa8yKy
Bundesliga (NIE),Bayern Munich,https://drive.google.com/uc?export=view&id=1lCq2Q4kb8htW411w_BCSHtgDDVtbqwTi
Bundesliga (NIE),Bayern Munich,https://drive.google.com/uc?export=view&id=1mXQ7gjN2Ol-Jz026f77l-SabjCQUeTq9
Bundesliga (NIE),Bayern Munich,https://drive.google.com/uc?export=view&id=1928VN2UIKjsKHxoQOSQ1wzw7OqBaEMI0
Bundesliga (NIE),Bayern Munich,https://drive.google.com/uc?export=view&id=1e_hxaUd41gwTVE5hNWrGEQXZcN9r425N
Bundesliga (NIE),Bayern Munich,https://drive.google.com/uc?export=view&id=1rPIRj7GyLo_iaWCktqkSBPpp2OjMZTFD
Bundesliga (NIE),Bayern Munich,https://drive.google.com/uc?export=view&id=1vkpk9XlYOg8zWaFNEgs5J9h5Q8iTDlIx
Bundesliga (NIE),Bayern Munich,https://drive.google.com/uc?export=view&id=1yH134L9LSYRVIKeinmTNWpfyH81NofWW
